CASEID,age,sex,education,weekly_working_hours,salary
2202,50-59,Male,University degree or certificate,20,0
2202,50-59,Female,Non-university postsecondary certificate or diploma,35,0
2203,60-69,Male,University degree or certificate,60,0
2205,50-59,Female,University degree or certificate,25,27000
2206,50-59,Male,Non-university postsecondary certificate or diploma,40,87500
2207,60-69,Male,University degree or certificate,10,19500
2208,30-39,Male,Non-university postsecondary certificate or diploma,40,62500
2210,30-39,Male,Less than high school graduation,45,0
2210,30-39,Female,Less than high school graduation,30,0
2212,60-69,Male,University degree or certificate,44,125000
2213,50-59,Female,Graduated high school or partial postsecondary education,40,48000
2213,60-69,Male,Non-university postsecondary certificate or diploma,40,65000
2215,40-49,Female,Non-university postsecondary certificate or diploma,37.5,72500
2215,40-49,Male,Graduated high school or partial postsecondary education,60,20000
2216,40-49,Female,University degree or certificate,40,46000
2216,70+,Male,Less than high school graduation,20,0
2216,70+,Female,Less than high school graduation,20,0
2216,50-59,Male,Non-university postsecondary certificate or diploma,65,105000
2216,20-29,Male,Graduated high school or partial postsecondary education,20,21000
2216,16-19,Female,Less than high school graduation,20,23000
2217,40-49,Male,Graduated high school or partial postsecondary education,40,45000
2217,16-19,Female,Graduated high school or partial postsecondary education,35,2700
2218,20-29,Male,Non-university postsecondary certificate or diploma,60,150000
2219,40-49,Female,University degree or certificate,35,65000
2219,40-49,Male,University degree or certificate,40,77500
2221,40-49,Male,Non-university postsecondary certificate or diploma,44,70000
2221,40-49,Female,University degree or certificate,35,47500
2221,16-19,Female,Graduated high school or partial postsecondary education,24,5250
2223,20-29,Male,Non-university postsecondary certificate or diploma,40,43000
2223,20-29,Female,University degree or certificate,40,60000
2223,20-29,Male,Non-university postsecondary certificate or diploma,40,44000
2225,50-59,Female,Non-university postsecondary certificate or diploma,45,44000
2225,20-29,Male,University degree or certificate,40,52500
2226,50-59,Male,Non-university postsecondary certificate or diploma,38.8,48000
2227,40-49,Female,University degree or certificate,35,0
2227,40-49,Male,University degree or certificate,5,0
2228,20-29,Female,Non-university postsecondary certificate or diploma,40,39000
2229,30-39,Male,University degree or certificate,40,70000
2229,40-49,Female,University degree or certificate,35,57500
2230,70+,Female,Graduated high school or partial postsecondary education,10,8750
2231,30-39,Male,University degree or certificate,37.5,24000
2231,60-69,Female,University degree or certificate,32,5750
2232,30-39,Male,Non-university postsecondary certificate or diploma,40,85000
2233,30-39,Male,Graduated high school or partial postsecondary education,35,75000
2234,30-39,Male,Non-university postsecondary certificate or diploma,40,100000
2236,30-39,Male,Graduated high school or partial postsecondary education,40,55000
2238,60-69,Female,Graduated high school or partial postsecondary education,32,57500
